#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
69,"Father To Son - Remastered 2011","Queen",25,147,"classic rock, rock, glam rock","Rock","Queen II",1974-03-08,06:13,17,65,21,0,22,0,10,-11,C,4,2025-10-05,4e0NCSORypaMTdbG5LFhGD,"Hollywood Records",8B,GBUM71100499
70,"Laika","Boston Manor",0,90,"pop punk","Pop, Rock","Be Nothing.",2016-09-30,03:17,50,90,0,0,57,0,40,-5,G#/A♭,4,2025-10-05,78BbIbE1ZaFTk1gmYJEhiD,"Pure Noise Records",4B,USSTT1600061
71,"Nowhere Generation","Rise Against",45,166,"punk, hardcore punk","Rock","Nowhere Generation",2021-06-04,03:52,37,94,0,0,38,10,40,-4,B,4,2025-10-05,3j7V0K2tn1IJF1Yciu91Gv,"Loma Vista Recordings",1B,USC4R2003951
72,"Born Cold","Creeper",29,132,"horror punk","Metal, Rock","Sex, Death & The Infinite Void",2020-07-31,02:57,53,90,0,0,52,0,10,-5,C,4,2025-10-05,6P5SEgAkkHCqN6mYnAI7kc,"Roadrunner Records",8B,GBAHT1901118
73,"Drown In My Mind","Story Untold",48,135,"pop punk","Pop, Rock","Waves",2018-02-02,03:00,54,83,5,0,45,0,10,-6,G,4,2025-10-05,7w0gu9n8vp3sE0xZFCxcFu,"Hopeless Records",9B,USHR21710603
74,"All Apologies","Nirvana",75,113,"grunge, rock","Rock","In Utero",1993-09-21,03:53,45,63,8,0,36,0,0,-12,C♯/D♭,4,2025-10-05,1Ic9pKxGSJGM0LKeqf6lGe,"Geffen",3B,USGF19960712
75,"Landslide","Fleetwood Mac",83,159,"classic rock, yacht rock, soft rock","Rock, Pop","Fleetwood Mac",1975-07-11,03:19,41,16,88,0,42,0,10,-22,G minor,4,2025-10-05,5ihS6UUlyQAfmp48eSkxuQ,"Warner Records",6A,USWB19903197
76,"Sweetness","Jimmy Eat World",69,135,"emo, pop punk","Rock, Pop","Bleed American",2001-07-17,03:40,49,90,0,0,60,0,20,-4,F,4,2025-10-05,429IbFR4yp2J81CeTwF5iY,"Interscope",7B,USDW10110258
77,"PARADOX","MY FIRST STORY",36,130,"j-rock, j-pop, anime","Pop, Rock","PARADOX",2021-12-17,03:24,57,78,4,0,51,0,10,-5,G minor,4,2025-10-05,6V6ED9h3ps0gzcClRMxSKu,"INTACT RECORDS",6A,JPW462122161
78,"Body Paint","Arctic Monkeys",57,143,"indie, garage rock","Rock, Pop","The Car",2022-10-21,04:50,56,32,57,0,26,0,0,-12,G minor,4,2025-10-05,42GuKw49pPxNAkIhWGwgFs,"Domino Recording Co",6A,GBCEL2200516
